region,prefecture,commune,canton,etab_nom,categorie,statut_simplifie,lat,lon
Maritime,Golfe,Golfe 5,Aflao-Gakli,NSIA Assurance Adidogome,Assurance,Actif,6.179892249088729,1.172868315007228
Maritime,Golfe,Golfe 5,Aflao-Gakli,GTA Assurance Adidogomé,Assurance,Actif,6.178137602756356,1.176792570206645
Maritime,Golfe,Golfe 5,Aflao-Gakli,FINAM Agence Principale,Micro-Finance,Actif,6.175399463908128,1.1811310347589885
Maritime,Golfe,Golfe 5,Aflao-Gakli,Sanlam Adidogome,Assurance,Actif,6.175784775799637,1.181027842881429
Maritime,Golfe,Golfe 5,Aflao-Gakli,BIA Togo Adidogome,Banque,Actif,6.175221581533679,1.181610098445674
Maritime,Golfe,Golfe 5,Aflao-Gakli,Mutuelle Nevaeme,Micro-Finance,Actif,6.170243228328728,1.1958422254864731
Maritime,Golfe,Golfe 3,Bè-Ouest,BSIC Klikame,Banque,Actif,6.179581433077906,1.2053861993756263
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Mutuelle la Dignite,Micro-Finance,Actif,6.256128333333337,1.2035333333333331
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,COOPAD Agoe Zongo,Micro-Finance,Actif,6.251594999999999,1.2085516666666665
Maritime,Golfe,Golfe 1,Bè-Est,COOPEC Maturite,Micro-Finance,Actif,6.142242588829827,1.24267312674284
Maritime,Golfe,Golfe 4,Amoutivé,CORIS Bank Attikoumé,Banque,Inactif,6.165553825072307,1.2025330078353182
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,IB Bank Haoussa-Zongo,Banque,Actif,6.260926666666666,1.2077716666666671
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,La Pyramide Sarl,Micro-Finance,Actif,6.221909743450495,1.2264462067175177
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Microfinance WAGES,Micro-Finance,Actif,6.228957095770304,1.2114069545005897
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,SUNU Bank Agence Agoe,Banque,Actif,6.231028294606337,1.2108834537529962
Maritime,Golfe,Golfe 4,Amoutivé,BSIC Nyekonakpoè,Banque,Inactif,6.126545552408166,1.2093230045469638
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,SPT Zongo,Banque,Actif,6.253803333333334,1.2093899999999995
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,COOPEC DECA,Micro-Finance,Actif,6.250081666666668,1.1980583333333326
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,IFRJRJRJ,Micro-Finance,Inactif,6.230813333333335,1.2126316666666663
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Microfinance MECI Agoe demakpoe,Micro-Finance,Actif,6.239011788598628,1.2037772307917702
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,COOPEC AD Agoe Assiyeye,Micro-Finance,Actif,6.2311266666666665,1.1956533333333323
Maritime,Golfe,Golfe 5,Aflao-Gakli,Microfinance CECA ADidogome,Micro-Finance,Actif,6.195856666666667,1.1534599999999993
Maritime,Golfe,Golfe 7,Aflao-Sagbado,WAGES Avoeme,Micro-Finance,Actif,6.193568189338821,1.1362234349880922
Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sanlam Segbe,Assurance,Actif,6.193408575739667,1.1223945384423228
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Microfinance COECEB Agoè Gbonvé,Micro-Finance,Actif,6.217353333333333,1.184011666666667
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Millenium Microfinance Atchanve,Micro-Finance,Actif,6.230698333333336,1.2104149999999994
Maritime,Golfe,Golfe 4,Amoutivé,SPT Nyekonakpoe,Banque,Actif,6.127418333333331,1.2090533333333338
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Club Entraide Sans Frontière Microfinance,Micro-Finance,Actif,6.257508333333334,1.2080933333333337
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,COOPEC AD Atchanve,Micro-Finance,Actif,6.22516,1.215873333333333
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Banque Atlantique Agoè plantation,Banque,Actif,6.234141666666671,1.210315
Maritime,Golfe,Golfe 1,Bè-Est,Banque Atlantique Ahadji-Kpota,Banque,Actif,6.158952552228888,1.284411532906097
Maritime,Golfe,Golfe 1,Bè-Est,Banque SAB,Banque,Actif,6.158843175762937,1.283915322411816
Maritime,Golfe,Golfe 1,Bè-Est,FINAM de Be Kpota,Micro-Finance,Actif,6.161233471849637,1.2647203559983111
Maritime,Golfe,Golfe 4,Amoutivé,BCEAO Nyékonakpoè,Banque,Inactif,6.127253059898546,1.2123360258696294
Maritime,Golfe,Golfe 1,Bè-Est,Microfinance Millenium Akodessewa,Micro-Finance,Actif,6.149492518364627,1.2520761090457726
Maritime,Golfe,Golfe 1,Bè-Est,COOPEC Solidarite Bè-Est,Micro-Finance,Actif,6.151410343314092,1.2602327242222342
Maritime,Golfe,Golfe 1,Bè-Est,COOPEC Ave Bèkpota,Micro-Finance,Actif,6.162791666666666,1.2664766666666665
Maritime,Golfe,Golfe 1,Bè-Est,COCEC Anfame,Micro-Finance,Actif,6.165016666666668,1.27659
Maritime,Golfe,Golfe 6,Baguida,COOPEC Solidarite Baguida,Micro-Finance,Actif,6.168981693684939,1.30127394781389
Maritime,Golfe,Golfe 2,Bè-Centre,COCEC Atiegougan,Micro-Finance,Actif,6.193655274980941,1.2585695750803578
